sampleID;class
4_Blanco;Process_Blank
4_Blanco;Process_Blank
11_QC;Quality_Control
11_QC;Quality_Control
20_QC;Quality_Control
20_QC;Quality_Control
26_QC;Quality_Control
26_QC;Quality_Control
36_QC;Quality_Control
36_QC;Quality_Control
44_QC;Quality_Control
44_QC;Quality_Control
50_QC;Quality_Control
50_QC;Quality_Control
15_2210;Samples
15_2210;Samples
16_11665;Samples
16_11665;Samples
22_13;Samples
22_13;Samples
23_16;Samples
23_16;Samples
24_08082204;Samples
24_08082204;Samples
25_22;Samples
25_22;Samples
30_08082205;Samples
30_08082205;Samples
32_07082201;Samples
32_07082201;Samples
33_51480;Samples
33_51480;Samples
38_21;Samples
38_21;Samples
39_07082204;Samples
39_07082204;Samples
41_20;Samples
41_20;Samples
46_15;Samples
46_15;Samples
47_51467;Samples
47_51467;Samples
48_51468;Samples
48_51468;Samples
